quarter,country_name,default_rate,loss_rate,lgd
2019-Q2,Lithuania,NA,NA,0.417252259453828
2019-Q2,Luxembourg,0.0023663362666517,0.139328828216657,0.332766190618772
2019-Q2,Malta,0.117024428893708,0.0947714988582351,0.243053124773196
2019-Q2,Netherlands,0.0174394413093727,0.162748859254714,0.272586918765951
2019-Q2,Norway,0.0100944056792012,0.254125383996716,0.265600258686458
2019-Q2,Poland,0.011170190631486,0.273169204939482,0.330199636144968
2019-Q2,Portugal,0.0204579740554773,0.418850981281344,0.413417698288369
2019-Q2,Romania,0.0134480721420726,0.368120182263272,0.390927023877832
2019-Q2,Slovakia,0.0196333869496994,0.81151648531679,0.321487127634116
2019-Q2,Slovenia,0.0147939923309983,NA,0.403622084528635
2019-Q2,Spain,0.017436899519008,0.16120579700821,0.400501448115353
2019-Q2,Sweden,0.00208401036411167,0.219139312569875,0.250040884855277
2019-Q2,United Kingdom,0.0113269894466968,0.140910727438101,0.364390276069025
2019-Q2,Australia,0.00620328957873375,NA,0.291201876597065
2019-Q2,Canada,0.00324294008188958,NA,0.35175196868111003
2019-Q2,China,0.00106327608396238,NA,0.472916054512303
2019-Q2,Hong Kong,0.00236069310887731,NA,0.364344251798764
2019-Q2,India,0.00861467107631065,NA,0.438392408390052
2019-Q2,"Korea, Republic Of",0.00113054632014134,NA,0.375523872694042
2019-Q2,Russian Federation,0.0109326520383435,NA,0.396676514644296
2019-Q2,Singapore,0.00734089708870011,NA,0.325144515292151
2019-Q2,Switzerland,0.012428284635905,0.365455094890762,0.335371626995264
2019-Q2,United States,0.0037896373241437,0.231233378369531,0.321229919381993
2019-Q3,Austria,0.0091384502,0.2958530076,0.309555571
2019-Q3,Belgium,0.0132170737,0.2004309444,0.2642083679
2019-Q3,Bulgaria,0.0343321899,NA,0.4133503377
2019-Q3,Croatia,0.0302251146,NA,0.3902956822
2019-Q3,Cyprus,NA,NA,0.3379856738
2019-Q3,Czech,0.0102795346,0.466294612,0.3306261163
2019-Q3,Denmark,0.005884432,0.2184239144,0.2237597837
2019-Q3,Estonia,0.0016642871,NA,0.4147451927
2019-Q3,Finland,0.0049875801,NA,0.354786839
2019-Q3,France,0.0107061102,0.2783438285,0.3506561549
2019-Q3,Germany,0.0097226762,0.3903782758,0.3667836928
2019-Q3,Greece,0.0225946918,NA,0.3778325023
2019-Q3,Hungary,0.0123015289,0.5473302744,0.4206695092
2019-Q3,Ireland,0.0391145984,0.4720948487,0.3388042426
2019-Q3,Italy,0.0316156686,0.4140739255,0.3824318658
2019-Q3,Latvia,NA,NA,0.4271067001
2019-Q3,Lithuania,0.0012911046,NA,0.4159630914
2019-Q3,Luxembourg,0.0026921049,0.113608708,0.3343590921
2019-Q3,Malta,0.049212142,NA,0.2404891258
2019-Q3,Netherlands,0.0183903058,0.1469116586,0.2737936074
2019-Q3,Norway,0.0061382131,0.1459798014,0.2636424941
2019-Q3,Poland,0.0114496751,0.2764058954,0.3346274912
2019-Q3,Portugal,0.018050297,0.2803939405,0.4129002749
2019-Q3,Romania,0.012207758,0.4311761995,0.3905530439
2019-Q3,Slovakia,0.0215564175,0.8010323139,0.4006394201
2019-Q3,Slovenia,0.0082011337,NA,0.4060311547
2019-Q3,Spain,0.0196511668,0.3419838682,0.3912689153
2019-Q3,Sweden,0.0038883104,0.2577877981,0.2497175799
2019-Q3,United Kingdom,0.011808552,0.1449618856,0.3584163043
2019-Q3,Australia,0.0047337939,NA,0.2866618896
2019-Q3,Canada,0.0039094341,NA,0.350895524
2019-Q3,China,0.0014554419,NA,0.4845381032
2019-Q3,Hong Kong,0.0016812487,0.0326935715,0.364355279
2019-Q3,India,0.0072773023,NA,0.4455124919
2019-Q3,"Korea, Republic Of",0.0011654517,NA,0.3923248383
2019-Q3,Russian Federation,0.0036988601,NA,0.387836519
2019-Q3,Singapore,0.0040384074,NA,0.3256860264
2019-Q3,Switzerland,0.0104360858,0.0577918273,0.334228624
2019-Q3,United States,0.0049241575,0.2101523416,0.314606877
2019-Q4,Austria,0.0064984185019133335,0.2937275120526091,0.3094302948402949
2019-Q4,Belgium,0.014605266478607413,0.20890206864820382,0.2625003049075734
